,Sr No,Date,Startup Name,Industry Vertical,Sub-Vertical,City,Investors Name,Investment Type,Amount (USD),Remarks
1857,1858,10-03-2016,Stylflip,ECommerce,Pre-Owned Fashion marketplace mobile app,Mumbai,"Raj Gala Shah, Zaheer Memon",Seed Funding,1750000,No Remarks
1858,1859,10-03-2016,Icertis,Technology,Contract Management Software Solutions platform,Pune,"Ignition Partners, Greycroft Partners, Fidelity Growth Partners India",Private Equity,15000000,No Remarks
1859,1860,10-03-2016,Supplified,ECommerce,Construction material eTailer,New Delhi,Mohit Goel,Seed Funding,1000000,No Remarks
1860,1861,11-03-2016,JollyFoodFellow,Technology,Food Related Marketing & Branding platform,Ahmedabad,Janak Parikh,Seed Funding,1750000,No Remarks
1861,1862,14-03-2016,PinkBlue,ECommerce,Medical Supplies eTailer,Bengaluru,"Hari Krishna, Ajay Modani, Dr V Ravinder, Anirudh Rastogi, Abhishek Jain, Rakesh Gakhar, Rajeev Mudumba, Nagendra Prasad Bhanuprakash",Seed Funding,223608,No Remarks
1862,1863,14-03-2016,TruckingCube,Logistics,"Domestic, Commercial, and Industrial Goods Movers",New Delhi,Agarwal Movers Group,Private Equity,14900000,No Remarks
1863,1864,14-03-2016,eSwasthya,Consumer Internet,Online Medicine Delivery Aggregator,Ahmedabad,Hemang Sahani,Seed Funding,1750000,No Remarks
1864,1865,15-03-2016,FlipClass,Consumer Internet,Tutor Search Platform,Bengaluru,"S Chand and Co Pvt Ltd, Blume Ventures",Private Equity,1000000,No Remarks
1865,1866,15-03-2016,Proximit,Technology,Advertising Technology,Pune,Funding through 1Crowd platform,Seed Funding,150000,No Remarks
1866,1867,15-03-2016,WithMe,Consumer Internet,Personalized Fashion App,Gurugram,"Alex Kuruvilla, Pradeep Guha, Saket Dhankar, Rajan Pandhare",Seed Funding,250000,No Remarks
1867,1868,16-03-2016,Gapoon,Consumer Internet,Hyperlocal Home Maintenance services,Bengaluru,"Chandrashekar Tallapragada, Pankaj Kapoor",Seed Funding,180000,No Remarks
1868,1869,16-03-2016,Avagmah,Consumer Internet,Online Education Portal,Bengaluru,"Kris Gopalakrishnan, Atul Nishar",Seed Funding,1750000,No Remarks
1869,1870,16-03-2016,WorkIndia,Consumer Internet,Online Job Board,Mumbai,Beenext,Seed Funding,1750000,No Remarks
1870,1871,16-03-2016,Wealthy,Consumer Internet,Online Investment management portal,Bengaluru,"Zishaan Hayath, Abhishek Goyal, Arjun and Rohan Malhotra, Harpreet Singh Grover, Gagan Dugal",Seed Funding,250000,No Remarks
1871,1872,17-03-2016,Pramati,Healthcare,Specialized Patient Care platform,Noida,Undisclosed investors,Seed Funding,200000,No Remarks
1872,1873,17-03-2016,Qlivery,Consumer Internet,Ondemand Concierge Service,Gurugram,Swastika Company Ltd,Seed Funding,230000,No Remarks
1873,1874,17-03-2016,HealthEnablr,Consumer Internet,Doctor Discovery and booking platform,Mumbai,Undisclosed investors,Seed Funding,800000,No Remarks
1874,1875,17-03-2016,Liftiee,Consumer Internet,Car/ bike Pooling App,Mumbai,"Rannvijay Singh, Anita Hassanandani",Seed Funding,108000,No Remarks
1875,1876,18-03-2016,Hello Curry,Food & Beverage,Quick Service Restaurant Chain,Hyderabad,Sashi Reddi & Other unnamed investors,Private Equity,1500000,No Remarks
1876,1877,19-03-2016,goSporto,Consumer Internet,Online Sports discovery and booking platform,New Delhi,Naveen Gupta,Seed Funding,30000,No Remarks
1877,1878,21-03-2016,OneClickWash,Consumer Internet,Online Laundry & Washing service Booking & Delivery,Gurugram,Unitus Seed Fund,Seed Funding,1750000,No Remarks
1878,1879,21-03-2016,Girnar Software,Consumer Internet,Online News Media Network,Jaipur,Google Capital,Private Equity,1750000,No Remarks
1879,1880,21-03-2016,Room On Call,Consumer Internet,Budget hotel aggregator,Gurugram,CASHurDRIVE Marketing Pvt Ltd,Private Equity,2000000,No Remarks
1880,1881,22-03-2016,Byju's,Consumer Internet,Educational Video Content Creator,Bengaluru,"Sequoia India, Sofina",Private Equity,75000000,No Remarks
1881,1882,22-03-2016,BigBasket,eCommerce,Online Grocery Shop,Bengaluru,Abraaj Group,Private Equity,150000000,No Remarks
1882,1883,22-03-2016,DrivoJoy,Consumer Internet,On-demand 2-wheeler Servicing platform,Bengaluru,"Indian Angel Network, Tracxn Labs & Others",Seed Funding,600000,No Remarks
1883,1884,22-03-2016,Smartron,Technology,Internet of Things Device manufacturer,Bengaluru,Sachin Tendulkar,Private Equity,1750000,No Remarks
1884,1885,22-03-2016,LifCare,Consumer Internet,Online Pharmacy portal,Jaipur,"Rajul Garg, Alok Mittal, Kunal Shah, Rishi Mandawat, Dheeraj Jain, Sandeep Tandon, Dexter Angel Circle",Seed Funding,1750000,No Remarks
1885,1886,22-03-2016,CreditSeva,Consumer Internet,Online Credit management tools,Hyderabad,"Pix Vine Capital, Infocomm Development Authority of Singapore",Seed Funding,360000,No Remarks
1886,1887,22-03-2016,CityShor,Consumer Internet,online lifestyle media recommendation portal,Ahmedabad,GAIN,Seed Funding,1750000,No Remarks
1887,1888,23-03-2016,Endless Robotics,Technology,Interior Painting Automation,Hyderabad,"Devidas Desai, Vipul Gautam, Singapore Angel Network",Seed Funding,100000,No Remarks
1888,1889,23-03-2016,SP Robotics,Technology,Robotic Classes for Students,Chennai,"Indian Angel Network,",Seed Funding,300000,No Remarks
1889,1890,23-03-2016,StalkBuyLove,eCommerce,Fashion eTailer,New Delhi,"500 Startups, Littlerock, Singularity Ventures",Seed Funding,1750000,No Remarks
1890,1891,23-03-2016,eKincare,Consumer Internet,Healthcare related solutions,Hyderabad,"BitChemy Ventures, Maheshwari Investments Pvt Ltd, Anshoo Gaur, Rama Krishna Reddy, Sandeep Seerapu",Private Equity,330000,No Remarks
1891,1892,23-03-2016,HashLearn,Consumer Internet,Mobile based private tutoring services,Bengaluru,"Bhavish Aggarwal, Binny Bansal, Rajan Anandan, Mekin Maheshwar, Sunil Kalra, Anupam Mittal, Krishna Mehra, Singapore Angel Network",Seed Funding,1750000,No Remarks
1892,1893,23-03-2016,Wheelstreet,Consumer Internet,Online Bike Rental platform,Bengaluru,Broadbean Capital services,Private Equity,500000,No Remarks
1893,1894,24-03-2016,Horntell,Consumer Internet,Unified Push Notification service,Gurugram,"Bharanidharan Viswanathan, Sanjiv Mittal, Shobhit Shukla, Rahul Agarwal",Seed Funding,150000,No Remarks
1894,1895,28-03-2016,Schoolkart,eCommerce,Online Marketplace for Schools,Noida,Undisclosed investors,Seed Funding,300000,No Remarks
1895,1896,29-03-2016,HealthEminds,Consumer Internet,Online mental healthcare,Bengaluru,Robin Utthappa,Seed Funding,1750000,No Remarks
1896,1897,29-03-2016,Babygogo,Consumer Internet,Child healthcare experts aggregator mobile app,New Delhi,"Rajul Garg, Daljit Singh, Aditya Vij, Kishore Kumar, Shuchin Bajaj",Seed Funding,300000,No Remarks
1897,1898,29-03-2016,Veritas Finance,Finance,Asset Based Lending platform,Chennai,Sarva Capital,Private Equity,4700000,No Remarks
1898,1899,29-03-2016,QikShip,Consumer Internet,Mobile based Logistics provider,New Delhi,undisclosed investors,Seed Funding,200000,No Remarks
1899,1900,29-03-2016,FixNix,Consumer Internet,GRC SAAS Platform,Chennai,Jay Vijayan,Seed Funding,500000,No Remarks
1900,1901,30-03-2016,True Balance,Technology,Mobile Balance Check App,Gurugram,SoftBank Ventures Korea,Private Equity,1750000,No Remarks
1901,1902,30-03-2016,Touchkin,Healthcare,Predictive Healthcare platform,Bengaluru,"Alok Mittal, Amit Gupta, Anuj Srivastava, Himanshu Aggarwal, Raghunandan G, Puneet Agarwal",Seed Funding,400000,No Remarks
1902,1903,31-03-2016,SwitchMe,Consumer Internet,Home Loan Rate comparison platform,Mumbai,"Mohandas Pai, Hiro Mashita, Singapore Angel Network, 500 Startups, Rajan Anandan, Ajay Sarupria",Seed Funding,1750000,No Remarks
1903,1904,31-03-2016,Transcell,Healthcare,Family Stem Cell Banking Services,Hyderabad,Indian Angel Network,Seed Funding,1750000,No Remarks
1904,1905,01-02-2016,Blue Tokai Coffee,ECommerce,Specialty Coffee Etailer,New Delhi,Snow Leopard Technology Ventures,Seed Funding,1750000,No Remarks
1905,1906,02-02-2016,Altizone,Technology,IoT & M2M Solutions,Pune,"Wipro Ventures, Lumis Partners",Private Equity,4000000,No Remarks
1906,1907,02-02-2016,Oust App,Consumer Internet,Competitive Exam Preparation Platform,Bengaluru,"T V Mohandas Pai, Aarin Capital",Seed Funding,1750000,No Remarks
1907,1908,02-02-2016,Strike,Consumer Internet,Mobile Email productivity tool,Bengaluru,Multiple investors through Ten Minute Million competition,Seed Funding,22500,No Remarks
1908,1909,02-02-2016,MaaxMarket,Consumer Internet,Marketing Automation platform,Bengaluru,Multiple investors through Ten Minute Million competition,Seed Funding,22500,No Remarks
1909,1910,02-02-2016,Gamooz,Technology,Augmented Reality Solutions,Gurugram,Multiple investors through Ten Minute Million competition,Seed Funding,22500,No Remarks
1910,1911,02-02-2016,SoundSurround,Technology,Audio Technology Solutions,Mumbai,Multiple investors through Ten Minute Million competition,Seed Funding,22500,No Remarks
1911,1912,03-02-2016,Mazkara,Consumer Internet,Beauty & Wellness Platform,Pune,Dunamis Ventures Pte Ltd.,Seed Funding,1000000,No Remarks
1912,1913,03-02-2016,RoadGods,ECommerce,Auto Spare Parts eTailer,New Delhi,Green House Ventures (GHV),Seed Funding,100000,No Remarks
1913,1914,03-02-2016,Pindropmusic,Consumer Internet,Music Discovery Mobile App,Noida,Green House Ventures (GHV),Seed Funding,100000,No Remarks
1914,1915,03-02-2016,Woodpie,Consumer Internet,Book Recommendation Service,Bengaluru,Ingram Content Group,Seed Funding,30000,No Remarks
1915,1916,04-02-2016,Perfumery,ECommerce,Fragrances & Perfume eTailer,New Delhi,Oranda Global & Others,Seed Funding,30000,No Remarks
1916,1917,05-02-2016,Magic Crate,Education,Children Education Platform,Bengaluru,"TV Mohandas Pai, Aarin Capital",Seed Funding,1750000,No Remarks
1917,1918,05-02-2016,ZenDrive,Technology,Safe Driving Data & Analytics platform,Bengaluru,"Sherpa Capital, Nyca Partners and Thomvest Ventures",Private Equity,13500000,No Remarks
1918,1919,05-02-2016,Smartcooky,ECommerce,Marketplace for Health Foods,New Delhi,"Vandana Luthra,",Private Equity,1750000,No Remarks
1919,1920,05-02-2016,Turtlemint,Consumer Internet,online personalized insurance platform,Mumbai,Nexus Venture Partners,Private Equity,1750000,No Remarks
1920,1921,05-02-2016,BHIVE,Real Estate,Workspace Rentals,Bengaluru,"Raghunandan G, Venturesity, Arihant Patni",Seed Funding,1750000,No Remarks
1921,1922,05-02-2016,Gingercrush,Ecommerce,Personalized Products & Merchandize eTailer,Vadodara,"Saha Fund, TV Mohandas Pai, Zia Mody, Mumbai Angels, Ananda Kallugadde, Rakesh Desai, Rakesh Malhotra",Private Equity,1000000,No Remarks
1922,1923,05-02-2016,American Vision,Consumer Internet,Optical Store Aggregator Platform,Pune,Undisclosed investors,Seed Funding,81000,No Remarks
1923,1924,05-02-2016,DawaiLelo,Consumer Internet,Healthcare Services & Online Pharmacy Mobile App,Varanasi,Undisclosed investors,Seed Funding,52000,No Remarks
1924,1925,06-02-2016,Heads Up For Tails,Ecommerce,Pet Products eTailer,New Delhi,Undisclosed investors,Seed Funding,1000000,No Remarks
1925,1926,06-02-2016,LiveNutriFit,Healthcare,Weight loss & Healthcare Info portal,New Delhi,"Mohit Goel, Vinod Jain & Others",Seed Funding,1750000,No Remarks
1926,1927,08-02-2016,Moglix,Ecommerce,Industrial & Home Products Marketplace,New Delhi,Ratan Tata,Private Equity,1750000,No Remarks
1927,1928,08-02-2016,iStyleYou,Consumer Internet,Personal Fashion Stylist App,Gurugram,Green House Ventures (GHV),Seed Funding,100000,No Remarks
1928,1929,08-02-2016,AdUrCup,Consumer Internet,Ad Network,New Delhi,Green House Ventures (GHV),Seed Funding,100000,No Remarks
1929,1930,08-02-2016,Weddingz,Consumer Internet,online marketplace for wedding venues and vendors,Mumbai,Sixth Sense Ventures,Private Equity,1750000,No Remarks
1930,1931,08-02-2016,Urban Dhobi,Consumer Internet,On Demand Laundry Services,Jaipur,"Vinod Bansal, Sanjeev Singhal",Seed Funding,1750000,No Remarks
1931,1932,08-02-2016,Gray Routes,Consumer Internet,Last mile logistics solutions,Mumbai,"Mahesh Parasuraman, Rahul Gautam & Others",Seed Funding,1750000,No Remarks
1932,1933,08-02-2016,Xpressbees,ECommerce,ECommerce Logistics solutions,Pune,"SAIF Partners, IDG Ventures India, Vertex Ventures, Valiant Capital",Private Equity,12500000,No Remarks
1933,1934,08-02-2016,Invictus Oncology,Healthcare,Cancer therapeutic Info & Solutions,New Delhi,Ratan Tata,Private Equity,1750000,No Remarks
1934,1935,08-02-2016,Hanselio,Technology,Mobile App Tech Solutions,Bengaluru,"Endiya Partners, Mekin Maheshwari, Rajesh Sawhney",Seed Funding,1750000,No Remarks
1935,1936,09-02-2016,Inc42,Consumer Internet,Startup Focused Media News Portal,New Delhi,"India Ventures, Aarin Capital & Others",Seed Funding,1750000,No Remarks
1936,1937,09-02-2016,GOQii,Technology,Personalized fitness coaching & Fitness band,Mumbai,Edelweiss Financial Services,Private Equity,1750000,No Remarks
1937,1938,10-02-2016,Capzest,Consumer Internet,Digital Lending Platform,Mumbai,Lion Ventures,Seed Funding,200000,No Remarks
1938,1939,10-02-2016,GlamStudios,Consumer Internet,Online Salon Aggregator,Noida,Aqeel Ahmed,Seed Funding,1750000,No Remarks
1939,1940,10-02-2016,Affimity,Consumer Internet,Social Networking platform,Bengaluru,undisclosed investors,Seed Funding,1200000,No Remarks
1940,1941,10-02-2016,Anandakanda,Technology,Medicine Intake Reminder System,Pune,undisclosed investors,Seed Funding,150000,No Remarks
1941,1942,10-02-2016,JoulestoWatts,Technology,IT services & Talent collaboration services startup,Bengaluru,Manipal Global Education Services,Seed Funding,1750000,No Remarks
1942,1943,10-02-2016,Shopkirana,Consumer Internet,Retailer Supply Chain platform,Indore,"Atul Jain, Anil Gelra, Jaikumar Nair",Seed Funding,1750000,No Remarks
1943,1944,10-02-2016,Stylofie,Consumer Internet,Online Beauty Parlour search & discovery Platform,Gurugram,Jaideep Mehta,Seed Funding,1750000,No Remarks
1944,1945,10-02-2016,OyBob,eCommerce,Hyperlocal Products & Services marketplace,Gurugram,Sachin Dalal,Seed Funding,1750000,No Remarks
1945,1946,12-02-2016,ActOnMagic,Technology,Cloud Analytics and Management Products,Bengaluru,Jayabalan Subramanian,Seed Funding,125000,No Remarks
1946,1947,12-02-2016,Bonhomia,Food & Beverage,premium Tea and Coffee,New Delhi,"Alok Rawat, Grey Orange Robotics",Seed Funding,1000000,No Remarks
1947,1948,12-02-2016,iGrenEnergi,Technology,Solar Power Solutions,Mumbai,Sunil Mehta,Seed Funding,1000000,No Remarks
1948,1949,12-02-2016,RKSV,Consumer Internet,Online Stock Trading Platform,Mumbai,Kalaari Capital,Private Equity,4000000,No Remarks
1949,1950,15-02-2016,Aasaanjobs,Consumer Internet,Online Recruitment Marketplace,Mumbai,"Aspada Advisors, IDG Ventures, Inventus Capital",Private Equity,5000000,No Remarks
1950,1951,15-02-2016,Snapdeal,eCommerce,Horizontal Online Marketplace,New Delhi,Ontario Teachers’ Pension Plan & Others,Private Equity,200000000,No Remarks
1951,1952,15-02-2016,Jugnoo,Consumer Internet,Transportation & On-demand delivery aggregator,Chandigarh,Saumya Tandon,Private Equity,1750000,No Remarks
1952,1953,15-02-2016,Snapbizz,Technology,Connectivity platform for local grocery stores,Bengaluru,Ratan Tata,Private Equity,1750000,No Remarks
1953,1954,15-02-2016,GoYaNo,Consumer Internet,Events & Restaurant Discovery Marketplace App,Gurugram,Mukesh Kumar Gupta,Seed Funding,50000,No Remarks
1954,1955,15-02-2016,RentSher,Consumer Internet,Online Household Product Rental platform,Bengaluru,"Vaibhav Doshi, Abhay Singhal, Vibhu Garg, Joby Babu, Abhishek Acharya, Manish Shah",Seed Funding,300000,No Remarks
1955,1956,15-02-2016,Buddy,Finance,Micro Lending Platform for eCommerce purchases,Bengaluru,"Blume Ventures, Tracxn Labs",Seed Funding,500000,No Remarks
1956,1957,15-02-2016,Legistify,Consumer Internet,Online Legal services platform,New Delhi,Ranjit Singh,Seed Funding,1750000,No Remarks
1957,1958,16-02-2016,TableHero,Consumer Internet,Dynamic Restaurant Website creator,Bengaluru,"GrowX Ventures, Kunal Shah, Sandeep Tandon, Haresh Chawla, Powai Lake Ventures, Globevestor",Seed Funding,1000000,No Remarks
1958,1959,16-02-2016,BetterPlace,Technology,Data analytics based Verification services Platform,Bengaluru,Unitus Seed Fund,Seed Funding,970000,No Remarks
1959,1960,16-02-2016,Salebhai,eCommerce,"Sweets, Eatables, Handicrafts Online Marketplace",Ahmedabad,"Virendra Shekhawat, Deepak Chokhani, Yogesh Patel & Others",Seed Funding,1750000,No Remarks
1960,1961,16-02-2016,icustommadeit,eCommerce,Professional Custom creators Marketplace,Pune,"Brand Capital, Siddhivinayak Skyscrapers, Dinesh R. Challa",Private Equity,4000000,No Remarks
1961,1962,16-02-2016,Tring,Consumer Internet,Instant Messaging App,Pune,Vishwadeep Bajaj & Others,Seed Funding,1750000,No Remarks
1962,1963,16-02-2016,Medinfi,Consumer Internet,Doctor & Clinics Discovery platform,Bengaluru,"Rajnish Sinha, Prijit Debnath, Kanchan Ghoshal",Seed Funding,1750000,No Remarks
1963,1964,17-02-2016,Timemytask,Consumer Internet,On-Demand home cleaning services,Mumbai,Lead Angels,Seed Funding,1750000,No Remarks
1964,1965,17-02-2016,GameZop,Technology,Mobile Gaming Platform,New Delhi,"KWAN Entertainment & Marketing Solutions, Powerhouse Ventures & Others",Seed Funding,350000,No Remarks
1965,1966,17-02-2016,Notary Mama,Consumer Internet,On-demand Legal documentation and registration service,Bengaluru,"Dr Nandish Domlur, Amit Sandill",Seed Funding,1750000,No Remarks
1966,1967,17-02-2016,The Viral Fever,Consumer Internet,Independent Online Video production company,Mumbai,Tiger Global,Private Equity,10000000,No Remarks
1967,1968,17-02-2016,Avanti Learning,Education,Private Coaching Classes,New Delhi,Michael & Susan Dell Foundation,Private Equity,5000000,No Remarks
1968,1969,17-02-2016,Bollant Industries,Technology,Eco-friendly consumer & packaging products,Hyderabad,Ratan Tata,Private Equity,1750000,No Remarks
1969,1970,18-02-2016,GetVee,Consumer Internet,Matrimony & Couples only mobile platform,New Delhi,"Lightspeed Venture Partners, K Ganesh",Private Equity,1750000,No Remarks
1970,1971,18-02-2016,HealthKumbh,Consumer Internet,Health related Information portal,Ahmedabad,Undisclosed investor,Seed Funding,73000,No Remarks
1971,1972,18-02-2016,Unlaze,Consumer Internet,Social Networking app for outdoor interests,Gurugram,"Sujal Shah, Dino Morea",Seed Funding,1750000,No Remarks
1972,1973,18-02-2016,Tracxn,Technology,Indian Startup ecosystem trends analyzer & funding platform,Bengaluru,"Nandan Nilekani, Mohandas Pai, Neeraj Arora, Anand Rajaraman, Girish Mathrubootham, Aneesh Reddy & Teruhide Sato",Private Equity,1750000,No Remarks
1973,1974,18-02-2016,Careongo,ECommerce,Online Pharmacy store,New Delhi,Farooq Oomerbhoy & Other angel investors,Seed Funding,300000,No Remarks
1974,1975,18-02-2016,Ark Robot,Technology,Warehouse Automation,Bengaluru,Qualcomm (Through QPrize Contest),Seed Funding,350000,No Remarks
1975,1976,19-02-2016,Jaypore,ECommerce,Ethnic Products marketplace,New Delhi,Aavishkaar,Private Equity,5000000,No Remarks
1976,1977,19-02-2016,Finance Buddha,Consumer Internet,Online Loan Comparison & Discovery platform,Bengaluru,Chennai Angels,Seed Funding,1750000,No Remarks
1977,1978,19-02-2016,AlmaConnect,Consumer Internet,Alumni social network,New Delhi,"Mohandas Pai, Varun Aggarwal",Seed Funding,1750000,No Remarks
1978,1979,19-02-2016,Advantage Club,Consumer Internet,mobile platform for corporate employee benefits,Gurugram,Purvi Ventures & Others,Seed Funding,400000,No Remarks
1979,1980,19-02-2016,LocalRamu,Consumer Internet,mobile based aggregator for local service providers,Bengaluru,3 undisclosed investors,Seed Funding,1750000,No Remarks
1980,1981,22-02-2016,Baby Berry,Consumer Internet,Parenting Mobile app,Bengaluru,Nitin Bagmane & Other undisclosed investors,Seed Funding,1000000,No Remarks
1981,1982,22-02-2016,Magicpin,Consumer Internet,Hyperlocal Discover Mobile App,New Delhi,Lightspeed India,Private Equity,3000000,No Remarks
1982,1983,22-02-2016,First Eat,Consumer Internet,Healthy Food Delivery platform,New Delhi,Undisclosed investor,Seed Funding,100000,No Remarks
1983,1984,22-02-2016,SigTuple,Technology,Healthcare based Tech Solutions,Bengaluru,"Sachin Bansal, Binny Bansal, Accel Partners & Others",Seed Funding,1750000,No Remarks
1984,1985,22-02-2016,Taskbob,Consumer Internet,Hyperlocal Handyman services platform,Mumbai,"IvyCap Ventures, Orios Venture Partners, Mayfield India",Private Equity,4500000,No Remarks
1985,1986,22-02-2016,Styledotme,Consumer Internet,Mobile Fashion App,New Delhi,Indian Angel Network,Seed Funding,37000,No Remarks
1986,1987,22-02-2016,NewsLaundry,Consumer Internet,Independent News Media Portal,New Delhi,"Omidyar Network, Vikram Lal, Abhijit Bhandari, Mahesh Murthy, Shashank Bhagat",Private Equity,1750000,No Remarks
1987,1988,23-02-2016,CupoNation,Consumer Internet,Deals and Discount platform,Gurugram,"Rocket Internet AG, Holtzbrink Ventures, New Enterprise Associates (NEA), e.ventures, ru-Net, Deutsche Telekom Strategic Investments (DTSI), Silicon Valley Bank",Private Equity,11000000,No Remarks
1988,1989,23-02-2016,Aarav UAV,Technology,unmanned aerial vehicles creator,Kanpur,"StartupXseed Ventures, The Phoenix Fund and others",Seed Funding,1750000,No Remarks
1989,1990,24-02-2016,Sayfix,Consumer Internet,Hyperlocal Home Services Provider,Bengaluru,Yajnanarayana Kammaje,Seed Funding,160000,No Remarks
1990,1991,24-02-2016,LoanZen,Consumer Internet,Peer to peer Lending marketplace,Bengaluru,Tracxn Syndicate,Seed Funding,1750000,No Remarks
1991,1992,24-02-2016,NoBroker,Consumer Internet,Peer to peer property listing platform,Bengaluru,"Beenext, Digital Garage, Beenos, Qualgro, Mamoru Taniya, SAIF Partners",Private Equity,10000000,No Remarks
1992,1993,24-02-2016,AppilyEver,Consumer Internet,Online wedding services marketplace,Hyderabad,"Varun Aggarwal, Suresh Venkat, Raj Y",Seed Funding,400000,No Remarks
1993,1994,24-02-2016,Pocketin,Consumer Internet,Hotel reservations & Deal platform,Noida,Swastika Company Ltd,Seed Funding,150000,No Remarks
1994,1995,24-02-2016,FeetApart,Consumer Internet,Employee engagements & Rewards platform,Bengaluru,Vishal Bali & Others,Seed Funding,1750000,No Remarks
1995,1996,25-02-2016,OfBusiness,eCommerce,B2B commerce Marketplace,Gurugram,Matrix Partners India,Private Equity,5000000,No Remarks
1996,1997,25-02-2016,CarveNiche,Consumer Internet,Personalized Learning Solutions & products,Bengaluru,"Calcutta Angels, Lead Angels & Others",Seed Funding,1750000,No Remarks
1997,1998,25-02-2016,Juspay,Consumer Internet,Digital Payments solutions,Bengaluru,"Accel Partners, Ashish Hemrajani, Parikshit Dar, Rajesh Balpande",Private Equity,5800000,No Remarks
1998,1999,25-02-2016,Funcart,eCommerce,Party Supplies Etailer,New Delhi,Undisclosed HNIs,Seed Funding,70000,No Remarks
1999,2000,26-02-2016,Freedom Smart Labs,Technology,IoT retail solutions,New Delhi,Kapil Goel,Seed Funding,145000,No Remarks
2000,2001,26-02-2016,EduBridge,Consumer Internet,Skill development and vocational training platform,Mumbai,"Insitor Impact Asia Fund, Acumen Fund",Private Equity,2500000,No Remarks
2001,2002,29-02-2016,Nestaway,Consumer Internet,Online Home Rental Marketplace,Bengaluru,Ratan Tata,Private Equity,1750000,No Remarks
2002,2003,29-02-2016,Hopscotch,eCommerce,Baby & Kids Products Online Flash sales platform,Mumbai,Eduardo Saverin,Private Equity,13000000,No Remarks
2003,2004,29-02-2016,PinClick,Consumer Internet,Online real estate listings,Bengaluru,Undisclosed investors,Private Equity,1750000,No Remarks
2004,2005,01-01-2016,Smartcooky,ECommerce,Health Food / Personal Care Marketplace,New Delhi,"Rajan Anandan, Pramod Bhasin, Siddharth Pai, TV Mohandas Pai, Manvinder Singh Banga",Seed Funding,1750000,No Remarks
2005,2006,01-01-2016,Helpi,Consumer Internet,On Demand Cleaning Services Mobile App,Mumbai,Undisclosed Investors,Seed Funding,1750000,No Remarks
2006,2007,04-01-2016,DogSpot,ECommerce,Online Pet Store,Gurugram,Ratan Tata,Seed Funding,1750000,No Remarks
2007,2008,04-01-2016,Career360,Education,College Education Portal,New Delhi,MeritTrac,Private Equity,1750000,No Remarks
2008,2009,04-01-2016,B9 Beverages,Food & Beverage,Craft Beer manufacturing company,New Delhi,"Sequoia Capital, Kunal Bahl, Rohit Bansal, Deepinder Goyal, Ashish Dhawan, Mayank Singhal",Private Equity,6000000,No Remarks
2009,2010,05-01-2016,WIMWI Foods,Food & Beverage,Healthy food manufacturing & sales startup,Ahmedabad,Centre for Innovation Incubation and Entrepreneurship (CIIE),Seed Funding,1750000,No Remarks
2010,2011,05-01-2016,MyChild App,Education,Child Disorder Information & Education,Bhopal,"Samir Bangara, Anisha Mittal, Amit Gupta, Pallav Nadhani, Lalit Mangal, Arihant Patni, Dr. Ritesh Malik, Deobrat Singh, Saurab Paruthi, Singapore Angel Network.",Seed Funding,100000,No Remarks
2011,2012,05-01-2016,Instaproc,ECommerce,B2B Procurement Marketplace for Office Products,Noida,Dinesh Agarwal,Seed Funding,1750000,No Remarks
2012,2013,05-01-2016,360Ride,Consumer Internet,Ride Sharing platform,Bengaluru,Undisclosed,Seed Funding,150000,No Remarks
2013,2014,05-01-2016,Alef Mobitech,Consumer Internet,Cloud Mobility Solutions,Mumbai,Tata Capital Innovation Fund,Private Equity,5000000,No Remarks
2014,2015,06-01-2016,Tracxn,BFSI,Startup Funding Deal Discovery & Execution platform,Bengaluru,Ratan Tata,Seed Funding,1750000,No Remarks
2015,2016,06-01-2016,Qdesq,Real Estate,Branded Workspaces Aggregator,Gurugram,"Dheeraj Jain, Jagdish Kumar, Bharat Gupta, Ankush Saigal, Praveen Saini",Seed Funding,1750000,No Remarks
2016,2017,06-01-2016,Sensara,Technology,"TV Search, Guide and Remote mobile app",Bengaluru,"Lalitesh Katragadda, Ganayantrika Systems",Seed Funding,750000,No Remarks
2017,2018,06-01-2016,Zebpay,Consumer Internet,Bitcoin Buying & Selling Mobile App,Ahmedabad,"Arjun Handa, Amit Jindal, Nagendra Chaudhary",Private Equity,1000000,No Remarks
2018,2019,06-01-2016,PlanMy MedicalTrip,Healthcare,Medical Tourism platform,Pune,"Bhanu Vikram Parsotam, Rohan Desai and Paras Patel",Seed Funding,150000,No Remarks
2019,2020,06-01-2016,MyCity4Kids,Education,Children Education & Information platform,Gurugram,"SIDBI Venture Capital Limited, YourNest Angel Fund",Private Equity,3000000,No Remarks
2020,2021,06-01-2016,Justdakhila,Education,School Student admissions platform,New Delhi,Ankur Gupta,Seed Funding,750000,No Remarks
2021,2022,07-01-2016,PitStop,Consumer Internet,Automobile Service Booking App,Bengaluru,Myntra/LivSpace Founders,Seed Funding,1750000,No Remarks
2022,2023,07-01-2016,Bikxie,Consumer Internet,Two Wheeler Taxi Service,Gurugram,Undisclosed Investors,Seed Funding,1750000,No Remarks
2023,2024,07-01-2016,Infurnia,Consumer Internet,Online Furniture Customization platform,Bengaluru,Idein Ventures,Seed Funding,160000,No Remarks
2024,2025,07-01-2016,Myly,Education,Mobile Based Education platform,Jaipur,Newbie Promoter Pvt Ltd,Seed Funding,100000,No Remarks
2025,2026,07-01-2016,MakeMyTrip,Consumer Internet,Online Travel/Hotel Booking platform,Gurugram,Ctrip.com International Ltd,Private Equity,180000000,No Remarks
